metric,base,stressed
stress_profile,none,conservative
net_modeled_pnl,1589.4968,-1764.1912
net_dollar_pnl,158949.6847,-176419.1192
return_on_capital,1.589497,-1.764191
closed_layers,1213,1213
winning_layers,963,650
losing_layers,250,563
win_rate_by_closed_layer,0.793899,0.535862
profit_factor_by_closed_layer,1.965356,0.149877
profit_factor_by_day,3.275686,0.091787
corridor_occupancy_rate,0.5177,0.5177
average_rebuilds_per_day,1.304,1.304
best_day_pnl_dollars,3504.5726,620.7575
worst_day_pnl_dollars,-3982.9849,-4828.0255
max_drawdown,-96.1602,-1766.5469
max_gross_deployment_dollars,2662.4,3202.4
max_modeled_capital_at_risk_dollars,2684.8,3224.8
