config_name,center_tolerance,butterfly_width,recenter_threshold,drift_persistence_bars,rebuild_cooldown_minutes,corridor_occupancy_rate,average_rebuilds_per_day,closed_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,profit_factor_by_day,return_on_capital,best_day_pnl_dollars,worst_day_pnl_dollars,max_gross_deployment_dollars,is_viable
tol15_w30_rt7_dp6_cd45,15.0,30.0,7.0,6,45,0.656,0.712,1031,0.721629,1.300698,1.549762,0.568414,3003.1063,-4427.2746,2662.4,True
tol15_w25_rt7_dp6_cd45,15.0,25.0,7.0,6,45,0.656,0.712,1031,0.601358,0.753779,0.630872,-0.5585,2272.875,-3878.3326,2222.4,False
tol15_w20_rt7_dp6_cd45,15.0,20.0,7.0,6,45,0.656,0.712,1031,0.493695,0.475335,0.320432,-1.216866,1298.7607,-4144.6079,1782.4,False
tol15_w15_rt7_dp6_cd45,15.0,15.0,7.0,6,45,0.656,0.712,1031,0.364694,0.27976,0.148799,-1.580289,697.8545,-4015.7591,1342.4,False
tol15_w10_rt7_dp6_cd45,15.0,10.0,7.0,6,45,0.656,0.712,1031,0.248303,0.155874,0.062017,-1.474793,438.4613,-2707.2,902.4,False
tol12p5_w30_rt7_dp6_cd45,12.5,30.0,7.0,6,45,0.5972,0.968,1116,0.761649,1.605447,2.203032,1.060868,3304.0521,-4230.1126,2662.4,True
tol12p5_w25_rt7_dp6_cd45,12.5,25.0,7.0,6,45,0.5972,0.968,1116,0.653226,0.927679,0.87827,-0.15427,2520.1609,-4299.1499,2222.4,False
tol12p5_w20_rt7_dp6_cd45,12.5,20.0,7.0,6,45,0.5972,0.968,1116,0.523297,0.53079,0.351535,-1.106762,1543.7371,-4010.4,1782.4,False
tol12p5_w15_rt7_dp6_cd45,12.5,15.0,7.0,6,45,0.5972,0.968,1116,0.40233,0.312981,0.155888,-1.534597,1051.3036,-4008.1912,1342.4,False
tol12p5_w10_rt7_dp6_cd45,12.5,10.0,7.0,6,45,0.5972,0.968,1116,0.246416,0.153024,0.056035,-1.605572,424.8501,-2707.2,902.4,False
tol10_w30_rt7_dp6_cd45,10.0,30.0,7.0,6,45,0.5177,1.304,1213,0.793899,1.965356,3.275686,1.589497,3504.5726,-3982.9849,2662.4,True
tol10_w25_rt7_dp6_cd45,10.0,25.0,7.0,6,45,0.5177,1.304,1213,0.708162,1.19402,1.375218,0.378949,2389.9083,-3444.9993,2222.4,True
tol10_w20_rt7_dp6_cd45,10.0,20.0,7.0,6,45,0.5177,1.304,1213,0.571311,0.646505,0.462255,-0.8141,1744.0864,-3766.9406,1782.4,False
tol10_w15_rt7_dp6_cd45,10.0,15.0,7.0,6,45,0.5177,1.304,1213,0.43446,0.363129,0.166303,-1.462795,1060.0517,-3684.0321,1342.4,False
tol10_w10_rt7_dp6_cd45,10.0,10.0,7.0,6,45,0.5177,1.304,1213,0.283594,0.182968,0.052846,-1.600316,422.761,-2481.6,902.4,False
tol7p5_w30_rt7_dp6_cd45,7.5,30.0,7.0,6,45,0.4154,1.888,1367,0.842721,2.766088,5.872675,2.50335,3806.2725,-3203.82,2662.4,True
tol7p5_w25_rt7_dp6_cd45,7.5,25.0,7.0,6,45,0.4154,1.888,1367,0.767374,1.637931,2.434538,1.117889,2925.1642,-2781.6054,2222.4,True
tol7p5_w20_rt7_dp6_cd45,7.5,20.0,7.0,6,45,0.4154,1.888,1367,0.642282,0.870485,0.776925,-0.280488,2248.2438,-3415.3781,1782.4,False
tol7p5_w15_rt7_dp6_cd45,7.5,15.0,7.0,6,45,0.4154,1.888,1367,0.489393,0.455785,0.21823,-1.270406,1598.7611,-3020.4,1342.4,False
tol7p5_w10_rt7_dp6_cd45,7.5,10.0,7.0,6,45,0.4154,1.888,1367,0.335772,0.231161,0.060706,-1.573339,733.1519,-2481.0215,902.4,False
tol5_w30_rt7_dp6_cd45,5.0,30.0,7.0,6,45,0.2874,2.428,1437,0.864301,3.312539,7.898532,2.973926,4037.7433,-3764.4564,2662.4,False
tol5_w25_rt7_dp6_cd45,5.0,25.0,7.0,6,45,0.2874,2.428,1437,0.78984,1.889788,3.13391,1.479043,3138.3965,-3184.3781,2222.4,False
tol5_w20_rt7_dp6_cd45,5.0,20.0,7.0,6,45,0.2874,2.428,1437,0.687543,1.061196,1.111226,0.121707,2261.1252,-3113.7653,1782.4,False
tol5_w15_rt7_dp6_cd45,5.0,15.0,7.0,6,45,0.2874,2.428,1437,0.556715,0.571391,0.340592,-0.91298,1580.7585,-2664.3076,1342.4,False
tol5_w10_rt7_dp6_cd45,5.0,10.0,7.0,6,45,0.2874,2.428,1437,0.349339,0.240774,0.054702,-1.59942,933.2785,-2163.2847,902.4,False
tol3p75_w30_rt7_dp6_cd45,3.75,30.0,7.0,6,45,0.2181,2.696,1417,0.863797,3.328807,7.824363,2.963032,3831.8033,-3764.4564,2662.4,False
tol3p75_w25_rt7_dp6_cd45,3.75,25.0,7.0,6,45,0.2181,2.696,1417,0.790402,1.914954,3.216541,1.495497,3108.3192,-3190.7294,2222.4,False
tol3p75_w20_rt7_dp6_cd45,3.75,20.0,7.0,6,45,0.2181,2.696,1417,0.690191,1.087593,1.159462,0.170368,2384.9681,-3182.9783,1782.4,False
tol3p75_w15_rt7_dp6_cd45,3.75,15.0,7.0,6,45,0.2181,2.696,1417,0.567396,0.605566,0.393811,-0.808856,1492.566,-3006.9679,1342.4,False
tol3p75_w10_rt7_dp6_cd45,3.75,10.0,7.0,6,45,0.2181,2.696,1417,0.375441,0.267072,0.076151,-1.461087,845.2326,-2253.2558,902.4,False
